Subject,Grade,Count
Data_Structures,S,14
Data_Structures,A,28
Data_Structures,B,37
Data_Structures,C,21
Data_Structures,D,24
Data_Structures,E,15
Data_Structures,F,11
Algorithms,S,8
Algorithms,A,28
Algorithms,B,34
Algorithms,C,35
Algorithms,D,26
Algorithms,E,11
Algorithms,F,8
Database_Systems,S,13
Database_Systems,A,26
Database_Systems,B,39
Database_Systems,C,29
Database_Systems,D,26
Database_Systems,E,8
Database_Systems,F,9
Computer_Networks,S,12
Computer_Networks,A,28
Computer_Networks,B,36
Computer_Networks,C,34
Computer_Networks,D,21
Computer_Networks,E,8
Computer_Networks,F,11
Operating_Systems,S,17
Operating_Systems,A,35
Operating_Systems,B,30
Operating_Systems,C,25
Operating_Systems,D,21
Operating_Systems,E,14
Operating_Systems,F,8
