InvoiceNo,StockCode,Description,Quantity,UnitPrice,CustomerID,Country
INV536370,42098,White Hanging Heart T-Light Holder,4,2.82,12513,France
INV536370,98696,Assorted Colour Bird Ornament,12,11.29,12511,France
INV536371,76237,LUNCH BAG RED RETROSPOT,10,1.55,12525,France
INV536371,95181,White Hanging Heart T-Light Holder,12,7.38,12528,France
INV536371,68878,Set of 3 Butterfly Cookie Cutters,10,4.38,12500,France
INV536371,30926,Paper Chain Kit 50's Christmas,12,6.0,12535,France
INV536371,30379,Regency Cakestand 3 Tier,4,12.02,12543,France
INV536371,23396,Party Bunting,2,5.52,12545,France
INV536372,70217,Jam Making Set With Jars,9,2.65,12548,France
INV536372,20328,Assorted Colour Bird Ornament,9,4.55,12580,France
INV536372,91070,White Hanging Heart T-Light Holder,6,7.75,12590,France
INV536372,19116,Party Bunting,1,8.69,12598,France
INV536373,46434,Regency Cakestand 3 Tier,8,8.4,12546,France
INV536373,31319,Pack Of 72 Retrospot Cake Cases,6,5.25,12585,France
INV536373,44993,Jam Making Set With Jars,12,11.79,12582,France
INV536373,19358,Set of 3 Butterfly Cookie Cutters,10,8.39,12568,France
INV536374,45382,Jumbo Bag Red Retrospot,11,8.99,12528,France
INV536374,99733,Paper Chain Kit 50's Christmas,6,10.73,12599,France
INV536374,17331,LUNCH BAG RED RETROSPOT,4,10.5,12540,France
INV536375,51245,Assorted Colour Bird Ornament,4,8.62,12550,France
INV536375,94259,Regency Cakestand 3 Tier,8,2.86,12517,France
INV536375,42325,Pack Of 72 Retrospot Cake Cases,12,7.57,12533,France
INV536375,86622,Jam Making Set With Jars,7,11.35,12551,France
INV536375,57447,Party Bunting,4,12.47,12517,France
INV536376,92240,Paper Chain Kit 50's Christmas,3,10.16,12554,France
INV536376,88172,Regency Cakestand 3 Tier,2,5.58,12576,France
INV536376,71348,White Hanging Heart T-Light Holder,9,4.08,12570,France
INV536376,11504,LUNCH BAG RED RETROSPOT,11,9.36,12587,France
INV536376,80381,Jam Making Set With Jars,5,9.9,12543,France
INV536376,24621,Set of 3 Butterfly Cookie Cutters,5,6.14,12558,France
INV536377,33416,Assorted Colour Bird Ornament,9,11.52,12580,France
INV536377,49117,Set of 3 Butterfly Cookie Cutters,11,6.96,12525,France
INV536378,88504,Party Bunting,6,6.75,12514,France
INV536378,57576,Jumbo Bag Red Retrospot,5,3.94,12530,France
INV536378,84364,White Hanging Heart T-Light Holder,2,2.21,12562,France
INV536379,26828,Set of 3 Butterfly Cookie Cutters,11,6.6,12570,France
INV536379,31643,Jumbo Bag Red Retrospot,5,7.19,12577,France
INV536380,62296,Pack Of 72 Retrospot Cake Cases,11,8.56,12556,France
INV536380,77839,Set of 3 Butterfly Cookie Cutters,8,2.61,12528,France
INV536380,18392,Jam Making Set With Jars,6,1.49,12570,France
INV536380,40161,Party Bunting,10,3.73,12509,France
INV536380,92719,Jumbo Bag Red Retrospot,1,3.83,12504,France
INV536381,97684,Regency Cakestand 3 Tier,8,3.66,12516,France
INV536381,84847,Set of 3 Butterfly Cookie Cutters,10,6.57,12600,France
INV536381,71993,Pack Of 72 Retrospot Cake Cases,7,3.39,12512,France
INV536381,96374,Jumbo Bag Red Retrospot,7,5.24,12552,France
